launch_id,launch_date,year,month,quarter,rocket,flight_number,booster_id,booster_reuse_count,launch_site,orbit,customer,payload_kg,cost_usd_million,mission_duration_min,outcome,booster_landing
126,2020-01-02,2020,January,Q1,Falcon 9,91,B1055,10,Cape Canaveral SLC-40,LEO,NASA,15303,65.3,2,Success,Failure
78,2020-01-05,2020,January,Q1,Falcon 9,54,B1055,6,Cape Canaveral SLC-40,Polar,ESA,17095,67.0,4,Success,Success
24,2020-01-08,2020,January,Q1,Starship,3,B1061,1,"Starbase, TX",TMI,Axiom Space,134296,11.7,7,Failure,Failure
63,2020-01-15,2020,January,Q1,Falcon 9,43,B1052,5,Vandenberg SLC-4E,MEO,Iridium,15284,67.4,6,Success,Success
100,2020-01-26,2020,January,Q1,Falcon Heavy,17,B1053,8,Kennedy LC-39A,Heliocentric,Axiom Space,22263,92.2,5,Success,Success
150,2020-02-21,2020,February,Q1,Falcon 9,105,B1055,12,Vandenberg SLC-4E,SSO,Commercial Satellite Co.,18399,79.7,5,Success,Success
104,2020-03-15,2020,March,Q1,Falcon 9,71,B1057,8,Vandenberg SLC-4E,MEO,Commercial Satellite Co.,14803,75.1,3,Success,Success
84,2020-04-06,2020,April,Q2,Falcon 9,56,B1061,6,Kennedy LC-39A,GTO,Planet Labs,3698,74.8,6,Success,Success
144,2020-04-13,2020,April,Q2,Falcon Heavy,22,B1061,11,Kennedy LC-39A,GTO,ESA,25248,115.7,4,Success,Success
22,2020-04-24,2020,April,Q2,Falcon Heavy,5,B1059,1,Kennedy LC-39A,HEO,ESA,20690,131.6,8,Failure,Failure
135,2020-04-27,2020,April,Q2,Starship,18,B1052,11,"Starbase, TX",LEO,DoD,140783,22.9,1,Success,Success
178,2020-05-20,2020,May,Q2,Falcon 9,124,B1059,14,Vandenberg SLC-4E,LEO,Planet Labs,20557,73.6,10,Success,Success
89,2020-05-22,2020,May,Q2,Falcon 9,59,B1054,7,Vandenberg SLC-4E,LEO,NASA,10421,65.5,6,Success,Success
98,2020-05-31,2020,May,Q2,Falcon 9,66,B1051,8,Cape Canaveral SLC-40,LEO,Iridium,9573,77.1,5,Success,Success
110,2020-06-05,2020,June,Q2,Falcon 9,76,B1051,9,Kennedy LC-39A,ISS,SpaceX (Starlink),14774,72.8,5,Success,Success
54,2020-06-20,2020,June,Q2,Falcon 9,38,B1055,4,Cape Canaveral SLC-40,MEO,Axiom Space,5437,68.8,1,Success,Success
90,2020-06-27,2020,June,Q2,Falcon 9,60,B1055,7,Vandenberg SLC-4E,MEO,Axiom Space,11031,67.4,2,Success,Success
99,2020-07-25,2020,July,Q3,Falcon 9,67,B1052,8,Cape Canaveral SLC-40,Polar,Commercial Satellite Co.,4461,68.7,5,Success,Success
5,2020-09-01,2020,September,Q3,Falcon Heavy,1,B1054,0,Kennedy LC-39A,HEO,Planet Labs,58936,108.8,5,Success,Success
3,2020-09-10,2020,September,Q3,Starship,1,B1052,0,"Starbase, TX",LEO,Commercial Satellite Co.,56105,21.1,9,Success,Success
33,2020-09-16,2020,September,Q3,Falcon Heavy,9,B1058,2,Kennedy LC-39A,HEO,Commercial Satellite Co.,53398,106.6,9,Success,Failure
102,2020-09-16,2020,September,Q3,Falcon 9,69,B1055,8,Vandenberg SLC-4E,LEO,Planet Labs,20026,64.8,7,Success,Success
65,2020-09-23,2020,September,Q3,Falcon 9,45,B1054,5,Vandenberg SLC-4E,SSO,SpaceX (Starlink),13819,78.7,5,Success,Success
115,2020-09-28,2020,September,Q3,Falcon 9,81,B1056,9,Kennedy LC-39A,MEO,SpaceX (Starlink),8347,64.4,3,Success,Success
113,2020-10-01,2020,October,Q4,Falcon 9,79,B1054,9,Cape Canaveral SLC-40,ISS,Planet Labs,13971,63.7,1,Success,Success
164,2020-10-21,2020,October,Q4,Falcon 9,116,B1057,13,Kennedy LC-39A,ISS,ESA,21929,63.8,8,Success,Success
41,2020-10-23,2020,October,Q4,Falcon 9,27,B1054,3,Vandenberg SLC-4E,LEO,SpaceX (Starlink),10537,63.5,2,Success,Success
7,2020-10-26,2020,October,Q4,Falcon 9,5,B1056,0,Cape Canaveral SLC-40,Polar,Planet Labs,7405,75.6,1,Success,Success
8,2020-11-13,2020,November,Q4,Starship,2,B1057,0,"Starbase, TX",TLI,Axiom Space,127905,19.9,2,Failure,Failure
134,2020-11-14,2020,November,Q4,Falcon 9,98,B1051,11,Kennedy LC-39A,GTO,DoD,3078,62.5,6,Success,Failure
93,2020-11-19,2020,November,Q4,Falcon 9,62,B1058,7,Kennedy LC-39A,GTO,Planet Labs,7240,66.5,9,Success,Success
85,2020-11-21,2020,November,Q4,Falcon Heavy,15,B1050,7,Kennedy LC-39A,HEO,Commercial Satellite Co.,20157,129.1,5,Success,Success
176,2020-12-05,2020,December,Q4,Falcon Heavy,29,B1057,14,Kennedy LC-39A,GTO,Iridium,48978,135.8,1,Success,Success
26,2020-12-13,2020,December,Q4,Falcon 9,16,B1051,2,Kennedy LC-39A,GTO,DoD,6162,62.5,3,Success,Success
2,2020-12-18,2020,December,Q4,Falcon 9,2,B1051,0,Vandenberg SLC-4E,SSO,SpaceX (Starlink),9886,63.6,2,Success,Success
137,2020-12-24,2020,December,Q4,Starship,19,B1054,11,"Starbase, TX",TLI,SpaceX (Starlink),67387,12.0,4,Failure,Failure
174,2020-12-24,2020,December,Q4,Starship,25,B1055,14,"Starbase, TX",TLI,Planet Labs,121486,21.5,1,Success,Success
105,2021-01-05,2021,January,Q1,Falcon 9,72,B1058,8,Vandenberg SLC-4E,Polar,Axiom Space,17102,75.9,3,Success,Success
20,2021-01-07,2021,January,Q1,Falcon 9,14,B1057,1,Kennedy LC-39A,ISS,Axiom Space,7473,68.4,9,Success,Success
59,2021-02-11,2021,February,Q1,Starship,7,B1060,4,"Starbase, TX",TMI,Iridium,88123,24.2,2,Success,Success
177,2021-02-16,2021,February,Q1,Falcon 9,123,B1058,14,Kennedy LC-39A,LEO,Axiom Space,6544,76.2,5,Success,Success
143,2021-03-04,2021,March,Q1,Falcon Heavy,21,B1060,11,Kennedy LC-39A,HEO,SpaceX (Starlink),34297,145.7,7,Success,Success
32,2021-03-10,2021,March,Q1,Falcon Heavy,8,B1057,2,Kennedy LC-39A,GTO,Commercial Satellite Co.,26148,92.5,1,Success,Success
123,2021-03-11,2021,March,Q1,Falcon 9,89,B1052,10,Kennedy LC-39A,ISS,Commercial Satellite Co.,15540,72.5,10,Success,Success
107,2021-03-21,2021,March,Q1,Starship,17,B1060,8,"Starbase, TX",TLI,Commercial Satellite Co.,89533,12.5,8,Failure,Failure
179,2021-05-01,2021,May,Q2,Falcon 9,125,B1060,14,Vandenberg SLC-4E,Polar,Planet Labs,16629,63.2,3,Success,Success
87,2021-05-21,2021,May,Q2,Starship,15,B1052,7,"Starbase, TX",TLI,Axiom Space,90461,26.4,8,Success,Success
